city,state,country,population,Lat,Lon,hoods_city_id,hoods_city_name
Lilliwaup,WA,,368,47.46355297,-123.1138499,,
Blyn,WA,,162,48.0222842,-123.0067156,,
Indian Creek,FL,,33,25.878061,-80.136678,,
Nashville-Davidson,TN,,601222,36.15388068,-86.78512573,25,Nashville-Davidson
Worcester,MA,,181045,42.26115926,-71.80080414,129,Worcester
Pittsfield,MA,,44737,42.44884544,-73.25099945,881,Pittsfield
Gloucester,MA,,28789,42.61430481,-70.66509247,1435,Gloucester
Fitchburg,MA,,40318,42.58195583,-71.79943085,983,Fitchburg
Fall River,MA,,88857,41.70082416,-71.15364075,346,Fall River
San Bernadino,CA,,209924,34.09840573,-117.2907257,100,San Bernardino
Chandler,AZ,,236123,33.30425828,-111.8384171,80,Chandler
Anaheim,CA,,336265,33.83290279,-117.9145432,54,Anaheim
Irving,TX,,216290,32.80830333,-96.94816589,95,Irving
Fremont,CA,,214089,37.5452397,-121.9815445,96,Fremont
Fort Wayne,IN,,253691,41.07854024,-85.13923645,74,Fort Wayne
Riverside,CA,,303871,33.95145786,-117.3940659,61,Riverside
Stockton,CA,,291707,37.95417838,-121.2883759,65,Stockton
Tulsa,OK,,391906,36.15142268,-95.99235535,46,Tulsa
Detroit,MI,,713777,42.33028006,-83.04857254,18,Detroit
Laval,,CA,401553,45.60356589,-73.7134552,2753,Laval
Markham,,CA,301709,43.85245421,-79.33570862,2831,Markham
Paradise,NV,,223167,36.09577422,-115.1453018,91,Paradise
Virginia Beach,VA,,437994,36.84713494,-76.01028442,39,Virginia Beach
Chesapeake,VA,,222209,36.76553027,-76.24992371,92,Chesapeake
Fresno,CA,,494665,36.74572536,-119.7859955,34,Fresno
Lubbock,TX,,229573,33.57721861,-101.8551064,84,Lubbock
Lexington-Fayette,KY,,295803,38.03955607,-84.50237274,63,Lexington-Fayette
Norfolk,VA,,242803,36.84689681,-76.28837585,78,Norfolk
Plano,TX,,259841,33.01915226,-96.70337677,71,Plano
Santa Monica,CA,,89736,34.02000291,-118.4921837,342,Santa Monica
Beaverton,OR,,89803,45.48479205,-122.8041458,340,Beaverton
Overland Park,KS,,173372,38.98034465,-94.67090607,139,Overland Park
Littleton,CO,,41737,39.6131206,-105.0157356,941,Littleton
Mount Rainier,MD,,8298,38.94138637,-76.96497917,,
Fair Lawn,NJ,,32457,40.93998401,-74.13239479,1255,Fair Lawn
Evanston,IL,,74486,42.04409004,-87.68445969,455,Evanston
Woburn,MA,,38120,42.47695571,-71.15123749,1038,Woburn
Tukwila,WA,,19107,47.47201018,-122.2665024,2183,Tukwila
Kansas City,KS,,145786,39.09892713,-94.62867737,168,Kansas City
Escondido,CA,,143911,33.11787424,-117.085762,174,Escondido
Campbell,CA,,39349,37.28601282,-121.9494438,1005,Campbell
Lake Oswego,OR,,36619,45.42057151,-122.6659584,1085,Lake Oswego
Gresham,OR,,105594,45.49950411,-122.4271774,259,Gresham
Tigard,OR,,48035,45.4296752,-122.7718735,817,Tigard
Tucson,AZ,,520116,32.22202323,-110.963974,33,Tucson
Inglewood,CA,,109673,33.96110131,-118.3532238,243,Inglewood
Newark,NJ,,277140,40.73361657,-74.17110443,68,Newark
Henderson,NV,,257729,36.03664153,-114.9781036,73,Henderson
Jersey City,NJ,,247597,40.72716933,-74.07068253,75,Jersey City
Aurora,,CA,53203,44.00496235,-79.4486618,2818,Aurora
East Gwillimbury,,CA,22473,44.10099243,-79.44282532,,
Georgina,,CA,43517,44.29396769,-79.43595886,2841,Georgina
